State_Code,State_Name,District ,District _Name,Tehsil_Code,Tehsil_Name,Block_Code,Naya Panchayat_Code,Village_Code,NAME,Level,AREA,RES_HOUSE,HOUSEHOLDS,T_POPLN,T_M_POPLN,T_F_POPLN,POPLN_M6,POPLN_F6,M_SC,F_SC,M_ST,F_ST,M_LITERATE,F_LITERATE,T_M_WORKER,T_F_WORKER,M_INDCAT1,F_INDCAT1,M_INDCAT2,F_INDCAT2,M_INDCAT3,F_INDCAT3,M_INDCAT4,F_INDCAT4,M_INDCAT5A,F_INDCAT5A,M_INDCAT5B,F_INDCAT5B,M_INDCAT6,F_INDCAT6,M_INDCAT7,F_INDCAT7,M_INDCAT8,F_INDCAT8,M_INDCAT9,F_INDCAT9,M_MARGINAL,F_MARGINAL,M_NON_WORK,F_NON_WORK
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0118,KAPOORISAR,Rural,2823,271,271,1936,990,946,215,191,152,145,0,1,378,63,537,254,463,240,15,3,17,9,0,0,8,1,0,0,1,0,10,0,4,0,19,1,11,97,442,595
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0119,GOPALYAN,Rural,2099.02,208,208,1459,745,714,177,188,96,82,0,0,197,37,407,279,319,240,11,9,63,28,0,0,3,0,2,1,0,0,3,0,0,0,6,1,26,133,312,302
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0120,NATHWANA,Rural,2806.59,208,211,1743,891,852,189,211,199,224,0,0,188,29,457,138,440,133,5,4,1,0,0,0,0,0,1,0,4,1,1,0,0,0,5,0,15,208,419,506
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0121,KISNASAR,Rural,4822.03,122,122,920,468,452,128,111,70,59,0,0,162,18,228,206,200,205,0,0,2,0,0,0,0,0,11,0,0,0,8,1,1,0,6,0,0,3,240,243
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0122,KALWAS,Rural,2339.15,84,84,564,268,296,65,69,54,69,0,0,76,9,112,6,100,6,2,0,4,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,156,290
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0123,UCHHRANGDESAR,Rural,1764.58,163,163,1119,610,509,138,125,81,90,3,3,312,90,291,13,112,10,24,2,1,0,0,0,1,0,35,0,6,0,44,0,31,0,37,1,0,5,319,491
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0124,JOGIYASAN,Rural,543.15,145,145,904,481,423,120,102,21,15,0,0,175,41,225,6,187,3,6,3,2,0,0,0,10,0,4,0,0,0,7,0,4,0,5,0,0,0,256,417
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0125,SAHAJARASAR,Rural,8099.85,375,375,2446,1248,1198,278,260,160,137,33,25,256,26,646,470,524,381,62,23,29,57,0,0,11,7,1,0,1,0,8,1,2,0,8,1,61,183,541,545
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0126,BASI CHARNAN,Rural,1969.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0127,BHANIPURA,Rural,1469.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0128,ADSAR,Rural,4258.64,124,124,856,446,410,116,89,60,66,0,0,74,3,234,160,224,157,1,0,3,3,0,0,0,0,1,0,0,0,1,0,2,0,2,0,0,16,212,234
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0129,RAWANSAR,Rural,1700.53,94,95,668,333,335,71,76,44,49,0,0,133,42,177,186,153,185,1,0,10,0,0,0,0,0,4,0,0,0,3,0,3,0,3,1,0,0,156,149
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0130,BAS KARNISAR,Rural,307.27,13,13,116,53,63,9,14,0,0,0,0,27,14,27,31,27,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,32
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0131,NATHUSAR,Rural,2268.32,72,75,495,269,226,67,63,122,92,0,0,55,4,121,7,117,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,148,219
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0132,CHANDSAR,Rural,1038.04,30,30,215,114,101,22,21,45,38,0,0,23,2,47,13,46,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,88
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0133,NAKODESAR,Rural,2740.6,118,118,971,454,517,131,123,88,88,0,0,92,17,226,9,155,6,0,0,57,3,0,0,0,0,4,0,0,0,2,0,0,0,8,0,0,259,228,249
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0134,KHAPHARSAR,Rural,1089.43,26,26,208,111,97,21,20,3,10,0,0,36,0,62,11,50,11,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,49,82
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0135,KOOBIYA,Rural,1341.16,28,28,126,65,61,11,16,4,3,0,0,24,4,40,1,35,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,25,59
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0136,GARABDESAR,Rural,9104.51,314,315,1849,969,880,216,173,456,406,0,0,277,43,493,54,448,51,0,1,0,0,0,0,10,2,1,0,1,0,14,0,2,0,17,0,7,102,469,724
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0137,KALOO,Rural,13474.48,1161,1165,7147,3592,3555,687,739,429,410,4,1,1562,754,1749,58,1192,36,17,2,31,0,0,0,10,1,60,0,32,0,219,0,67,0,121,19,3,64,1840,3433
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0138,RAJPURAHUDAN,Rural,3597.04,236,241,1108,579,529,138,126,266,258,0,0,139,24,283,18,180,7,59,0,17,1,0,0,10,2,1,0,1,0,12,7,0,0,3,1,14,153,282,358
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0139,MANAFARSAR,Rural,1367.02,105,105,722,390,332,85,64,51,46,0,0,127,10,196,33,138,26,30,5,12,1,0,0,2,0,0,0,0,0,11,1,0,0,3,0,1,155,193,144
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0140,DHEERDAN,Rural,4052.17,95,95,682,345,337,76,77,92,86,0,0,117,19,183,172,152,160,0,0,18,5,0,0,0,0,4,0,1,0,5,6,0,0,3,1,0,4,162,161
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0141,PHANCHARA @ AMARPURA,Rural,4543.56,164,164,1190,625,565,122,125,79,57,0,0,247,23,320,89,265,78,15,4,12,6,0,0,7,0,3,0,0,0,6,0,0,0,12,1,6,247,299,229
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0142,DHANI PANDUSAR,Rural,3304.04,185,185,1485,763,722,170,163,121,101,0,0,217,17,388,16,333,10,8,1,17,1,0,0,4,0,0,0,1,0,6,2,6,0,13,2,32,183,343,523
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0143,RAJASAR @ KARNISAR,Rural,5216.17,236,237,1810,953,857,214,170,233,207,0,0,256,51,493,230,441,212,27,14,3,0,0,0,1,0,2,0,0,0,9,1,3,0,7,3,24,151,436,476
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0144,CHHATASAR,Rural,3204.8,99,99,683,335,348,64,71,65,60,0,0,139,25,175,168,166,164,1,1,0,0,0,0,0,1,1,1,0,0,1,0,3,0,3,1,1,36,159,144
21,Rajasthan,'02,Bikaner,'0020,LUNKARANSAR(FULL),'0020,'0020,'0145,KAGASAR,Rural,2353.3,97,97,763,387,376,81,62,43,43,0,0,161,9,186,119,172,119,0,0,7,0,0,0,0,0,1,0,0,0,2,0,0,0,4,0,2,110,199,147
